time_s,phase_deg,amp_10bit
0.19375,254.53125,229
0.19953125,358.59375,242
0.252421875,230.625,220
0.482734375,54.84375,234
0.49171875,216.5625,223
0.50140625,30.9375,267
0.79421875,260.15625,228
0.8,4.21875,269
0.812421875,226.40625,240
0.902421875,46.40625,241
0.933671875,248.90625,229
1.013046875,236.25,238
1.1234375,63.28125,243
1.353203125,239.0625,239
1.360859375,15.46875,254
1.493828125,247.5,227
1.514375,258.75,234
1.532734375,229.21875,234
1.59296875,232.03125,232
1.693515625,241.875,228
1.794140625,251.71875,225
1.95296875,229.21875,221
2.2940625,247.5,224
2.49375,241.875,221
2.502109375,30.9375,235
2.513671875,240.46875,235
2.521015625,11.25,247
2.6546875,257.34375,222
2.6609375,9.84375,243
2.754765625,258.75,228
2.853671875,237.65625,238
2.923125,46.40625,240
2.931640625,201.09375,227
3.083359375,50.625,239
3.213359375,230.625,221
3.221015625,8.4375,255
3.243515625,52.03125,253
3.2634375,52.03125,255
3.374296875,247.5,232
3.393984375,240.46875,235
3.52390625,59.0625,259
3.531171875,189.84375,235
3.553125,225,233
3.59359375,232.03125,241
3.633515625,230.625,235
3.693359375,227.8125,227
3.893515625,229.21875,232
3.9740625,240.46875,230
3.981953125,22.5,243
4.023515625,49.21875,296
4.03328125,225,218
4.073359375,226.40625,239
4.113828125,234.84375,230
4.174765625,251.71875,235
4.181484375,11.25,268
4.19359375,230.625,233
4.23328125,225,245
4.31484375,253.125,233
4.37390625,234.84375,232
4.39375,233.4375,222
4.4340625,237.65625,224
4.473515625,227.8125,225
4.6340625,237.65625,230
4.65359375,229.21875,246
4.674921875,251.71875,226
4.894765625,248.90625,230
4.901796875,14.0625,262
4.934140625,236.25,227
5.073984375,233.4375,225
5.11484375,248.90625,224
5.195625,262.96875,237
5.273984375,232.03125,233
5.33421875,237.65625,224
5.41453125,241.875,237
5.43578125,264.375,228
5.47375,227.8125,225
5.65453125,240.46875,229
5.834765625,243.28125,230
5.974609375,240.46875,228
5.9821875,16.875,259
6.19453125,240.46875,224
6.534140625,230.625,229
6.573984375,227.8125,232
6.675625,257.34375,229
6.68109375,355.78125,239
6.71546875,254.53125,234
6.72265625,23.90625,245
6.733828125,223.59375,238
6.896171875,267.1875,230
6.90234375,18.28125,256
6.99546875,254.53125,239
7.19453125,234.84375,232
7.21390625,223.59375,235
7.304765625,59.0625,254
7.66453125,54.84375,239
7.794453125,233.4375,232
7.895625,253.125,242
7.902109375,9.84375,263
7.98453125,53.4375,243
8.054609375,234.84375,225
8.062421875,16.875,258
8.19640625,267.1875,234
8.20453125,53.4375,240
8.254375,230.625,229
8.295390625,248.90625,232
8.301796875,4.21875,259
8.324765625,57.65625,251
8.334765625,237.65625,226
8.5646875,56.25,238
8.635,241.875,227
8.664453125,50.625,247
8.6946875,234.84375,233
8.702890625,22.5,245
8.765,59.0625,296
8.77265625,198.28125,226
8.87578125,254.53125,227
8.881640625,360,244
8.94484375,57.65625,258
8.964453125,49.21875,257
8.973515625,212.34375,231
9.044609375,52.03125,250
9.175859375,255.9375,239
9.375625,250.3125,227
9.383125,25.3125,261
9.524765625,54.84375,245
9.624765625,53.4375,261
9.64484375,54.84375,267
9.67578125,251.71875,229
9.6825,14.0625,248
9.736484375,264.375,233
9.79640625,262.96875,236
9.8146875,232.03125,241
9.87484375,234.84375,243
9.895078125,239.0625,224
9.9553125,243.28125,224
10.034453125,227.8125,232
10.094765625,232.03125,241
10.235234375,240.46875,231
10.275859375,251.71875,237
10.465234375,59.0625,239
10.53453125,226.40625,242
10.61546875,243.28125,221
10.77484375,230.625,224
10.815078125,236.25,239
11.235234375,236.25,232
11.304921875,52.03125,246
11.313203125,199.6875,234
11.384921875,50.625,237
11.4359375,248.90625,223
11.44453125,43.59375,245
11.454921875,232.03125,224
