time_s,phase_deg,amp_10bit
0.05359375,277.03125,160
0.068359375,182.8125,160
0.083828125,101.25,157
0.09671875,331.875,170
0.14546875,129.375,170
0.171640625,241.875,163
0.17234375,254.53125,159
0.17578125,316.40625,161
0.186796875,154.6875,168
0.187578125,168.75,158
0.203359375,92.8125,161
0.208046875,177.1875,163
0.2090625,195.46875,167
0.22390625,102.65625,176
0.22515625,125.15625,158
0.225625,133.59375,166
0.234921875,300.9375,157
0.242890625,84.375,168
0.2490625,195.46875,168
0.2609375,49.21875,157
0.26296875,85.78125,159
0.27640625,327.65625,158
0.276875,336.09375,162
0.284140625,106.875,174
0.323515625,95.625,174
0.324921875,120.9375,172
0.32609375,142.03125,180
0.3271875,161.71875,161
0.327421875,165.9375,158
0.331015625,230.625,160
0.3384375,4.21875,156
0.3428125,82.96875,163
0.349296875,199.6875,177
0.349921875,210.9375,159
0.3771875,341.71875,167
0.384921875,120.9375,174
0.389609375,205.3125,165
0.4384375,4.21875,166
0.4484375,184.21875,158
0.4521875,251.71875,159
0.460390625,39.375,185
0.465703125,136.40625,157
0.467734375,171.5625,164
0.471640625,243.28125,157
0.5084375,184.21875,161
0.540078125,33.75,157
0.548984375,194.0625,160
0.5596875,26.71875,165
0.572890625,264.375,156
0.5775,347.34375,157
0.578671875,8.4375,163
0.587265625,163.125,156
0.609140625,196.875,157
0.62265625,80.15625,156
0.65421875,289.6875,168
0.66953125,203.90625,158
0.673125,268.59375,178
0.67796875,355.78125,161
0.68203125,68.90625,167
0.682578125,78.75,164
0.693984375,284.0625,161
0.695390625,309.375,159
0.714921875,300.9375,168
0.716171875,323.4375,163
0.716875,336.09375,170
0.721640625,63.28125,161
0.76015625,35.15625,182
0.7821875,73.125,168
0.79546875,310.78125,164
0.820234375,36.5625,157
0.825234375,126.5625,158
0.82984375,209.53125,184
0.838203125,360,163
0.84875,191.25,156
0.849375,202.5,175
0.857578125,348.75,162
0.85859375,8.4375,159
0.863828125,102.65625,161
0.877421875,345.9375,159
0.90015625,35.15625,161
0.90171875,63.28125,158
0.93921875,19.6875,156
0.94484375,119.53125,161
0.951171875,234.84375,161
0.951328125,236.25,156
0.952265625,254.53125,165
0.953515625,275.625,158
0.954765625,299.53125,159
0.98203125,68.90625,175
0.982734375,82.96875,162
1.01875,11.25,187
1.0396875,26.71875,165
1.039765625,28.125,161
1.06421875,109.6875,172
1.06640625,147.65625,172
1.07484375,299.53125,169
1.082421875,75.9375,171
1.09140625,237.65625,166
1.1021875,73.125,174
1.103125,88.59375,158
1.123046875,87.1875,193
1.125390625,130.78125,160
1.142734375,81.5625,163
1.14984375,209.53125,173
1.15625,324.84375,161
1.162734375,81.5625,157
1.171796875,244.6875,162
1.18140625,57.65625,163
1.190546875,223.59375,157
1.204453125,112.5,162
1.206484375,150.46875,163
1.23765625,350.15625,170
1.25734375,344.53125,156
1.263046875,87.1875,158
1.270078125,213.75,158
1.274140625,286.875,157
1.278671875,9.84375,159
1.2821875,71.71875,156
1.29,212.34375,164
1.324140625,108.28125,167
1.324609375,116.71875,163
1.325703125,136.40625,160
1.342734375,81.5625,163
1.390859375,229.21875,157
1.393359375,274.21875,172
1.405625,135,159
1.423671875,99.84375,165
1.435234375,306.5625,157
1.4559375,319.21875,163
1.45859375,7.03125,157
1.461171875,54.84375,157
1.462890625,84.375,157
1.4765625,331.875,156
1.50640625,147.65625,159
1.5265625,150.46875,158
1.565625,133.59375,158
1.5690625,196.875,168
1.57203125,250.3125,161
1.57265625,260.15625,162
1.633984375,285.46875,163
1.660859375,49.21875,159
1.711484375,240.46875,159
1.713671875,278.4375,156
1.713984375,285.46875,158
1.716328125,327.65625,160
1.721171875,54.84375,158
1.72984375,210.9375,158
1.738359375,4.21875,160
1.771015625,230.625,162
1.791953125,248.90625,165
1.8003125,37.96875,176
1.821484375,60.46875,161
1.83234375,255.9375,160
1.84140625,59.0625,170
1.8684375,185.625,163
1.874140625,288.28125,164
1.92,32.34375,160
1.941015625,52.03125,158
1.941328125,57.65625,168
1.94203125,70.3125,165
1.944921875,122.34375,166
1.971640625,243.28125,163
1.9834375,95.625,157
2.00125,56.25,174
2.00875,191.25,156
2.0128125,264.375,159
2.0203125,39.375,162
2.068984375,195.46875,159
2.07015625,216.5625,156
2.091953125,248.90625,157
2.112890625,265.78125,158
2.121640625,63.28125,161
2.1521875,253.125,159
2.16484375,120.9375,159
2.17734375,345.9375,160
2.182578125,80.15625,157
2.190234375,217.96875,157
2.194921875,302.34375,162
2.19640625,329.0625,157
2.19921875,19.6875,163
2.218046875,358.59375,166
2.2221875,73.125,167
2.228359375,184.21875,176
2.250234375,217.96875,166
2.250703125,226.40625,163
2.263203125,91.40625,162
2.2634375,95.625,159
2.26890625,194.0625,159
2.26921875,201.09375,157
2.275078125,305.15625,185
2.285859375,139.21875,160
2.358203125,1.40625,161
2.359140625,18.28125,156
2.389453125,203.90625,196
2.41953125,25.3125,158
2.435859375,320.625,163
2.43984375,32.34375,163
2.4484375,185.625,163
2.45546875,313.59375,158
2.467421875,168.75,157
2.4984375,5.625,156
2.505546875,135,168
2.508203125,181.40625,161
2.53125,236.25,161
2.544765625,120.9375,163
2.545078125,126.5625,162
2.555859375,320.625,157
2.583203125,92.8125,156
2.5884375,187.03125,158
2.6028125,84.375,164
2.625625,136.40625,166
2.645859375,139.21875,168
2.646953125,158.90625,162
2.6471875,163.125,157
2.64734375,167.34375,170
2.651015625,233.4375,164
2.6665625,151.875,158
2.68609375,144.84375,164
2.686875,157.5,171
2.696875,338.90625,157
2.7003125,39.375,161
2.713984375,286.875,163
2.720078125,36.5625,158
2.72140625,60.46875,164
2.7375,348.75,158
2.748359375,185.625,157
2.75515625,307.96875,157
2.756171875,326.25,162
2.793125,270,156
2.80296875,87.1875,174
2.809375,202.5,162
2.817890625,357.1875,159
2.828203125,182.8125,158
2.83453125,296.71875,180
