time_s,phase_deg,amp_10bit
0.050625,77.34375,200
0.08734375,18.28125,48
0.10609375,355.78125,39
0.112578125,112.5,121
0.117578125,203.90625,119
0.118359375,216.5625,61
0.129765625,61.875,174
0.142890625,298.125,242
0.156171875,177.1875,113
0.17203125,102.65625,103
0.181015625,264.375,320
0.190625,77.34375,278
0.20546875,344.53125,130
0.205625,347.34375,22
0.21984375,243.28125,66
0.23734375,198.28125,46
0.251875,99.84375,175
0.263125,300.9375,317
0.2725,111.09375,283
0.285078125,337.5,151
0.31171875,97.03125,132
0.311953125,101.25,37
0.3228125,296.71875,299
0.3459375,354.375,84
0.355546875,165.9375,28
0.3640625,319.21875,127
0.3703125,73.125,227
0.382734375,296.71875,302
0.3928125,116.71875,205
0.40515625,340.3125,116
0.405390625,344.53125,21
0.433046875,120.9375,133
0.446640625,5.625,85
0.469375,56.25,62
0.500078125,248.90625,202
0.500625,258.75,42
0.514921875,156.09375,143
0.525078125,337.5,87
0.531328125,91.40625,164
0.542109375,285.46875,233
0.542578125,292.5,22
0.553515625,130.78125,251
0.5653125,343.125,118
0.586171875,358.59375,24
0.5946875,151.875,53
0.600703125,260.15625,197
0.611484375,94.21875,239
0.662421875,289.6875,253
0.66265625,295.3125,20
0.67578125,171.5625,118
0.705390625,344.53125,43
0.71484375,154.6875,79
0.720390625,253.125,126
0.72125,270,55
0.730390625,74.53125,260
0.74203125,284.0625,216
0.742421875,291.09375,41
0.75421875,143.4375,178
0.754296875,144.84375,24
0.762265625,288.28125,282
0.77296875,120.9375,218
0.78390625,317.8125,244
0.7946875,151.875,128
0.80328125,306.5625,149
0.8034375,310.78125,19
0.8128125,119.53125,215
0.82375,315,183
0.8240625,320.625,27
0.832265625,108.28125,181
0.8440625,320.625,226
0.855,157.5,115
0.858203125,215.15625,115
0.86859375,42.1875,184
0.88203125,285.46875,183
0.8825,292.5,35
0.893828125,136.40625,187
0.904375,327.65625,156
0.921953125,284.0625,42
0.93171875,99.84375,291
0.946484375,4.21875,109
0.965546875,347.34375,23
0.980234375,251.71875,79
0.991875,102.65625,219
0.992109375,105.46875,23
1.006484375,5.625,94
1.0415625,277.03125,139
1.0696875,63.28125,210
1.07015625,70.3125,44
1.0884375,40.78125,31
1.2040625,320.625,140
1.217578125,205.3125,19
1.23671875,188.4375,20
1.26171875,278.4375,84
1.27625,181.40625,103
1.29046875,77.34375,109
1.298359375,219.375,188
1.306953125,14.0625,56
1.30953125,60.46875,31
