time_s,phase_deg,amp_10bit
0.091328125,80.15625,257
0.1025,281.25,155
0.11109375,75.9375,293
0.11203125,92.8125,448
0.12015625,239.0625,136
0.13125,78.75,232
0.1509375,73.125,235
0.160234375,240.46875,149
0.170625,67.5,235
0.1909375,73.125,272
0.191484375,81.5625,207
0.201171875,257.34375,170
0.210390625,63.28125,186
0.21140625,81.5625,359
0.221328125,260.15625,316
0.231015625,74.53125,443
0.23125,78.75,236
0.240234375,240.46875,90
0.24078125,250.3125,97
0.25203125,92.8125,333
0.26109375,255.9375,119
0.271015625,73.125,229
0.271328125,80.15625,329
0.281484375,262.96875,216
0.2915625,82.96875,277
0.31078125,70.3125,226
0.33078125,70.3125,242
0.35109375,75.9375,316
0.370859375,70.3125,262
0.37109375,74.53125,301
0.38046875,244.6875,150
0.390625,66.09375,182
0.391796875,88.59375,310
0.401328125,258.75,206
0.41109375,74.53125,248
0.412578125,102.65625,409
0.421484375,262.96875,94
0.430859375,71.71875,248
0.4315625,84.375,333
0.440859375,251.71875,147
0.441953125,271.40625,139
0.451015625,74.53125,305
0.470859375,70.3125,277
0.472109375,92.8125,75
0.48046875,244.6875,117
0.491171875,75.9375,296
0.51109375,74.53125,328
0.520234375,240.46875,89
0.5315625,84.375,310
0.53234375,97.03125,389
0.539765625,230.625,89
0.54046875,244.6875,166
0.550859375,71.71875,311
0.552578125,102.65625,60
0.5609375,253.125,133
0.571015625,73.125,285
0.59078125,68.90625,148
0.601328125,260.15625,133
0.610234375,60.46875,196
0.62171875,265.78125,131
0.63125,77.34375,280
0.651328125,80.15625,219
0.66,234.84375,134
0.67140625,80.15625,269
0.67953125,226.40625,64
0.6915625,82.96875,267
0.711328125,78.75,96
0.731328125,78.75,184
0.73171875,87.1875,60
0.75046875,63.28125,149
0.7709375,73.125,207
0.7909375,71.71875,870
0.800234375,240.46875,74
0.811875,90,862
0.82140625,260.15625,289
0.83078125,68.90625,417
0.8403125,240.46875,157
0.85109375,74.53125,219
0.851796875,87.1875,289
0.859375,223.59375,101
0.87140625,80.15625,216
0.8909375,71.71875,173
0.9003125,240.46875,138
0.910703125,67.5,175
0.931171875,75.9375,262
0.94140625,260.15625,124
0.951640625,84.375,83
0.952109375,92.8125,193
0.971328125,77.34375,276
0.9803125,240.46875,107
0.991171875,75.9375,273
1.01109375,74.53125,243
1.011953125,90,222
1.02203125,271.40625,193
1.03078125,67.5,248
1.03109375,74.53125,376
1.041953125,270,218
1.0509375,71.71875,373
1.0515625,82.96875,197
1.061015625,253.125,190
1.071171875,75.9375,347
1.09109375,74.53125,283
1.0925,99.84375,137
1.101328125,258.75,194
1.1109375,71.71875,238
1.112421875,97.03125,393
1.120546875,243.28125,176
1.1309375,71.71875,221
1.132421875,97.03125,61
1.140625,244.6875,143
1.151484375,81.5625,216
1.1709375,71.71875,278
1.18125,255.9375,83
1.191484375,81.5625,251
1.1915625,82.96875,139
1.20125,255.9375,161
1.21109375,73.125,156
1.2115625,82.96875,377
1.219609375,227.8125,100
1.23125,75.9375,299
1.231875,88.59375,226
1.2421875,272.8125,207
1.25078125,68.90625,216
1.25140625,78.75,441
1.260078125,234.84375,109
1.260625,246.09375,138
1.27140625,80.15625,221
1.290859375,70.3125,203
1.291484375,81.5625,301
1.301640625,264.375,204
1.3109375,71.71875,271
1.312109375,91.40625,426
1.320859375,248.90625,141
1.331015625,73.125,331
1.351484375,81.5625,341
1.352109375,91.40625,360
1.37109375,74.53125,227
1.39125,75.9375,259
1.410703125,67.5,181
1.431015625,71.71875,216
1.431875,87.1875,791
1.440078125,236.25,254
1.4415625,261.5625,131
1.451328125,78.75,271
1.461015625,251.71875,144
1.470703125,67.5,208
1.471484375,81.5625,368
1.49125,77.34375,207
1.492421875,97.03125,59
1.51140625,80.15625,285
1.53109375,74.53125,67
1.531171875,75.9375,244
1.55125,75.9375,80
1.551953125,88.59375,264
1.5715625,81.5625,85
1.5909375,70.3125,139
1.61109375,73.125,335
1.6309375,70.3125,290
1.651484375,80.15625,294
1.6521875,92.8125,335
1.6609375,250.3125,140
1.6709375,70.3125,269
1.691171875,75.9375,262
1.691796875,85.78125,75
1.71171875,84.375,246
1.7128125,105.46875,61
1.73015625,57.65625,81
1.7315625,82.96875,326
1.750859375,68.90625,250
1.75234375,95.625,76
1.7715625,81.5625,297
1.782109375,271.40625,66
1.791015625,71.71875,236
1.791640625,82.96875,134
1.831015625,71.71875,273
1.851328125,77.34375,286
1.85171875,84.375,275
1.8609375,250.3125,118
1.871328125,77.34375,291
1.880546875,243.28125,128
1.891328125,77.34375,283
1.9009375,250.3125,142
1.91140625,78.75,402
1.930859375,68.90625,200
1.951171875,74.53125,241
1.971640625,81.5625,279
1.980859375,248.90625,117
1.991171875,74.53125,353
2.01125,75.9375,320
2.03109375,73.125,180
2.051328125,77.34375,94
2.052265625,92.8125,88
2.063125,288.28125,119
2.07203125,90,173
2.091015625,71.71875,239
2.09109375,73.125,222
2.1003125,239.0625,110
2.11140625,78.75,344
2.131171875,74.53125,303
2.15125,74.53125,988
2.1603125,237.65625,62
2.16078125,246.09375,252
2.172421875,97.03125,203
2.1921875,91.40625,188
2.211484375,78.75,286
2.23046875,61.875,125
2.251484375,78.75,299
2.271015625,71.71875,270
2.291484375,78.75,253
2.2921875,91.40625,307
2.299765625,227.8125,108
2.311015625,70.3125,228
2.3309375,70.3125,347
2.35078125,66.09375,155
2.351640625,81.5625,255
2.371015625,71.71875,62
2.371171875,73.125,293
2.3909375,70.3125,261
2.411328125,75.9375,303
2.421171875,254.53125,80
2.430546875,61.875,163
2.45125,74.53125,173
2.45171875,82.96875,340
2.46015625,234.84375,74
2.460625,243.28125,116
2.4709375,68.90625,274
2.472109375,90,73
2.4915625,80.15625,327
2.5109375,70.3125,148
2.51171875,82.96875,258
2.521875,265.78125,67
2.5309375,68.90625,268
2.531484375,78.75,267
2.55109375,71.71875,214
2.571171875,73.125,332
2.591640625,81.5625,259
2.61140625,77.34375,335
2.63109375,71.71875,306
2.64140625,257.34375,68
2.651171875,73.125,278
2.67140625,77.34375,305
2.691171875,73.125,966
2.701171875,253.125,223
2.730859375,67.5,241
2.751171875,73.125,261
2.771171875,73.125,227
2.78171875,262.96875,68
2.790703125,64.6875,89
2.79234375,94.21875,85
2.81140625,77.34375,260
2.831171875,71.71875,81
2.85140625,77.34375,186
2.871484375,78.75,235
2.88078125,244.6875,66
2.890390625,59.0625,106
2.891015625,70.3125,73
2.911015625,68.90625,264
2.931015625,70.3125,197
2.94109375,251.71875,63
2.951484375,78.75,226
2.96125,254.53125,78
2.97140625,77.34375,203
2.991171875,73.125,250
3.000859375,246.09375,127
3.0115625,78.75,221
3.03125,74.53125,176
3.051640625,81.5625,278
3.07125,74.53125,336
3.091640625,80.15625,219
3.10078125,246.09375,121
3.111015625,70.3125,183
3.131015625,68.90625,86
3.13125,73.125,1024
3.140390625,239.0625,184
3.151484375,78.75,299
3.17203125,88.59375,100
3.18078125,246.09375,83
3.191015625,68.90625,187
3.191953125,87.1875,349
3.21109375,70.3125,259
3.231328125,75.9375,77
3.25078125,66.09375,200
3.27171875,82.96875,350
3.280703125,243.28125,66
3.290625,63.28125,64
3.310859375,67.5,92
3.311875,84.375,329
3.312421875,94.21875,216
3.331328125,75.9375,223
3.35171875,81.5625,261
3.371640625,80.15625,307
3.372578125,97.03125,290
3.3796875,225,72
3.38125,254.53125,165
3.390859375,67.5,232
3.39109375,71.71875,58
3.411875,84.375,200
3.43125,74.53125,174
3.44078125,246.09375,152
3.45109375,70.3125,198
3.46,232.03125,127
3.471171875,71.71875,61
3.481015625,248.90625,67
3.490546875,61.875,82
3.492265625,91.40625,88
3.511640625,80.15625,566
3.5203125,237.65625,128
3.53125,73.125,71
3.532109375,88.59375,209
3.541171875,253.125,74
3.55109375,70.3125,116
3.5525,95.625,128
3.56,230.625,64
3.57078125,66.09375,70
3.571953125,85.78125,180
3.580390625,237.65625,150
3.590546875,60.46875,94
3.611328125,75.9375,234
3.611953125,85.78125,341
3.620390625,237.65625,110
3.631484375,77.34375,249
3.640546875,240.46875,120
3.651484375,77.34375,290
3.660234375,234.84375,121
3.671328125,74.53125,264
3.671484375,77.34375,199
3.680625,241.875,134
3.691328125,74.53125,219
3.7015625,258.75,119
3.7109375,67.5,239
3.720859375,246.09375,139
3.731015625,68.90625,237
3.75171875,81.5625,329
3.771640625,80.15625,169
3.780859375,246.09375,79
3.791328125,74.53125,296
3.811171875,71.71875,275
3.820625,241.875,132
3.8315625,78.75,264
3.841015625,248.90625,98
3.851015625,67.5,188
3.851796875,82.96875,137
3.86046875,239.0625,110
3.87171875,81.5625,235
3.8915625,78.75,232
3.91125,73.125,268
3.95109375,70.3125,243
3.97203125,87.1875,148
3.991796875,82.96875,215
3.992421875,94.21875,62
4.0015625,257.34375,62
4.010625,61.875,72
4.01125,73.125,253
4.03140625,75.9375,187
4.051171875,71.71875,186
4.05203125,85.78125,326
4.06,230.625,73
4.061484375,257.34375,165
4.0709375,67.5,174
4.0725,95.625,381
4.081875,264.375,147
4.091328125,74.53125,241
4.092109375,88.59375,375
4.100546875,240.46875,122
4.1115625,78.75,236
4.131015625,68.90625,182
4.131171875,71.71875,198
4.141953125,265.78125,83
4.151328125,73.125,242
4.151484375,77.34375,222
4.1609375,247.5,68
4.170859375,66.09375,182
4.171171875,71.71875,166
4.18171875,261.5625,69
4.191171875,71.71875,181
4.191640625,80.15625,206
4.2009375,247.5,68
4.20109375,250.3125,64
4.21109375,70.3125,150
4.23140625,74.53125,197
4.232890625,102.65625,289
4.241171875,251.71875,108
4.2509375,67.5,175
4.252109375,87.1875,255
4.260546875,240.46875,111
4.261484375,257.34375,112
4.2709375,67.5,248
4.271328125,73.125,199
4.29125,73.125,162
4.312265625,91.40625,212
4.331640625,80.15625,244
4.3525,95.625,701
4.36015625,233.4375,174
4.36125,251.71875,130
4.37046875,59.0625,64
4.372265625,91.40625,323
4.391171875,71.71875,219
4.41140625,75.9375,272
4.411640625,78.75,187
4.421171875,250.3125,135
4.43109375,70.3125,267
4.451328125,74.53125,230
4.471328125,74.53125,238
4.491328125,73.125,100
4.50171875,260.15625,63
4.510703125,61.875,78
4.511640625,80.15625,199
4.5315625,78.75,276
4.55171875,81.5625,159
4.551796875,82.96875,290
4.571015625,67.5,211
4.59125,71.71875,278
4.612265625,91.40625,181
4.630859375,66.09375,178
4.63234375,92.8125,296
4.641328125,254.53125,216
4.650859375,66.09375,196
4.67109375,70.3125,253
4.691796875,82.96875,214
4.71109375,70.3125,162
4.731171875,71.71875,98
4.731875,82.96875,280
4.741015625,247.5,115
4.75140625,74.53125,240
4.752578125,97.03125,248
4.760078125,230.625,123
4.771015625,68.90625,206
4.791484375,75.9375,235
4.79234375,91.40625,242
4.802734375,279.84375,138
4.81125,71.71875,232
4.811875,84.375,402
4.820625,240.46875,158
4.831875,84.375,140
4.85109375,70.3125,211
4.871953125,84.375,171
4.8915625,78.75,239
4.901484375,255.9375,63
4.91109375,70.3125,99
4.931328125,73.125,250
4.951796875,82.96875,222
4.961953125,264.375,108
4.972578125,95.625,833
4.980078125,232.03125,168
4.9809375,246.09375,102
4.990859375,64.6875,101
4.992109375,88.59375,121
5.011484375,77.34375,141
5.03140625,74.53125,139
5.05125,71.71875,238
5.071328125,73.125,131
5.09125,71.71875,209
5.111171875,70.3125,173
5.1315625,77.34375,266
5.15140625,74.53125,335
5.16046875,237.65625,61
5.171640625,78.75,91
5.172421875,94.21875,348
5.180703125,243.28125,93
5.182890625,281.25,79
5.191640625,80.15625,207
5.191875,82.96875,212
5.211015625,67.5,199
5.231484375,77.34375,286
5.251015625,67.5,187
5.271484375,75.9375,206
5.29078125,63.28125,136
5.311875,82.96875,187
5.33109375,70.3125,245
5.351484375,75.9375,199
5.371953125,84.375,167
5.391015625,68.90625,224
5.4115625,77.34375,937
5.43140625,75.9375,205
5.451171875,70.3125,208
5.471484375,75.9375,255
5.491484375,75.9375,255
5.51140625,74.53125,275
5.53140625,75.9375,172
5.551328125,73.125,162
5.571015625,67.5,163
5.572109375,87.1875,292
5.580234375,233.4375,125
5.591640625,78.75,256
5.611640625,78.75,889
5.63234375,91.40625,257
5.6409375,246.09375,84
5.651171875,70.3125,177
5.651484375,75.9375,197
5.6615625,257.34375,109
5.671171875,71.71875,217
5.6715625,77.34375,186
5.6809375,246.09375,75
5.691171875,70.3125,201
5.7109375,66.09375,194
5.731328125,73.125,174
5.742109375,267.1875,148
5.750859375,64.6875,236
5.751640625,78.75,102
5.7625,274.21875,158
5.771484375,75.9375,207
5.772421875,92.8125,439
5.781015625,247.5,174
5.79109375,68.90625,161
5.791796875,81.5625,155
5.802890625,281.25,145
5.811484375,75.9375,290
5.82015625,230.625,58
5.831171875,70.3125,113
5.831640625,78.75,245
5.85109375,68.90625,255
5.851953125,84.375,168
5.860859375,244.6875,145
5.871484375,75.9375,267
5.891484375,75.9375,226
5.892578125,95.625,264
5.90109375,247.5,63
5.91109375,68.90625,189
5.91171875,78.75,191
5.92109375,248.90625,99
5.931171875,70.3125,181
5.931328125,73.125,771
5.940546875,239.0625,76
5.951171875,70.3125,170
5.95171875,78.75,156
5.971015625,67.5,131
5.971484375,74.53125,220
5.99140625,74.53125,171
6.011171875,68.90625,202
6.031796875,81.5625,217
6.051171875,70.3125,149
6.051640625,77.34375,183
6.06125,251.71875,91
6.071484375,74.53125,214
6.071953125,82.96875,193
6.081171875,248.90625,66
6.09109375,68.90625,173
6.09140625,73.125,194
6.111875,81.5625,252
6.120859375,244.6875,70
6.131328125,71.71875,229
6.17171875,78.75,733
6.18078125,243.28125,174
6.21125,71.71875,204
6.212109375,85.78125,277
6.23125,71.71875,162
6.251171875,70.3125,134
6.2609375,246.09375,61
6.271171875,68.90625,191
6.29203125,85.78125,214
6.311640625,78.75,141
6.33140625,73.125,244
6.34078125,243.28125,112
6.351328125,71.71875,222
6.35265625,95.625,305
6.360390625,234.84375,97
6.37109375,67.5,235
6.372578125,95.625,274
6.39171875,78.75,265
6.4121875,88.59375,101
6.430859375,64.6875,216
6.45140625,73.125,174
6.471484375,74.53125,224
6.49140625,73.125,286
6.511171875,68.90625,183
6.531484375,74.53125,243
6.54234375,270,87
6.5515625,75.9375,154
6.55234375,90,68
6.561171875,248.90625,72
6.571640625,77.34375,291
6.58078125,241.875,68
6.591015625,66.09375,168
6.611953125,81.5625,370
6.63140625,73.125,172
6.632890625,99.84375,295
6.640859375,243.28125,84
6.65125,70.3125,183
6.6528125,98.4375,106
6.661484375,254.53125,179
