time_s,phase_deg,amp_10bit
0.070625,21.09375,145
0.08359375,254.53125,120
0.09046875,18.28125,113
0.10296875,243.28125,52
0.11125,32.34375,73
0.12171875,222.1875,95
0.131796875,42.1875,130
0.140859375,206.71875,44
0.152890625,63.28125,55
0.160390625,198.28125,45
0.163515625,254.53125,197
0.170078125,12.65625,131
0.172421875,54.84375,72
0.18109375,210.9375,47
0.192421875,54.84375,63
0.200546875,201.09375,46
0.213359375,71.71875,50
0.220390625,198.28125,60
0.2334375,74.53125,67
0.240390625,199.6875,57
0.24359375,255.9375,117
0.251015625,30.9375,57
0.261953125,226.40625,59
0.270546875,22.5,43
0.28421875,267.1875,61
0.291015625,30.9375,78
0.301953125,226.40625,88
0.310390625,19.6875,53
0.33125,35.15625,59
0.341796875,225,79
0.3515625,40.78125,93
0.360859375,208.125,50
0.3725,57.65625,57
0.380546875,202.5,63
0.392265625,53.4375,64
0.400625,203.90625,55
0.413046875,67.5,62
0.420234375,198.28125,55
0.433515625,77.34375,74
0.463125,250.3125,128
0.471015625,30.9375,152
0.481484375,220.78125,84
0.491015625,32.34375,76
0.501328125,217.96875,56
0.51125,36.5625,60
0.521328125,217.96875,78
0.530703125,28.125,65
0.5425,239.0625,98
0.550234375,18.28125,83
0.563125,251.71875,61
0.570546875,23.90625,68
0.5825,239.0625,98
0.58984375,12.65625,59
0.60390625,265.78125,84
0.612421875,59.0625,66
0.620703125,208.125,45
0.631484375,42.1875,48
0.641640625,225,88
0.650625,26.71875,80
0.662265625,236.25,100
0.66984375,12.65625,50
0.67328125,74.53125,67
0.683046875,250.3125,172
0.692265625,57.65625,214
0.70078125,209.53125,173
0.803046875,251.71875,66
0.810390625,23.90625,63
0.823203125,254.53125,85
0.829921875,15.46875,69
0.86234375,240.46875,65
0.87,18.28125,55
0.89046875,25.3125,42
0.9015625,226.40625,56
0.911171875,39.375,79
0.92078125,212.34375,54
0.93140625,43.59375,100
0.941171875,219.375,119
0.95015625,21.09375,44
0.953359375,78.75,97
0.961328125,222.1875,151
0.970078125,19.6875,58
0.9721875,57.65625,59
0.98171875,229.21875,99
0.990546875,28.125,99
1.0021875,239.0625,89
1.010625,30.9375,104
1.02140625,223.59375,90
1.03125,40.78125,118
1.04078125,212.34375,108
1.051171875,40.78125,109
1.060703125,212.34375,77
1.071796875,52.03125,84
1.080390625,206.71875,107
1.090703125,32.34375,56
1.111640625,49.21875,63
1.12046875,208.125,67
1.131953125,54.84375,89
1.140546875,209.53125,114
1.15078125,33.75,95
1.16125,222.1875,113
1.170625,30.9375,112
1.180859375,215.15625,53
1.1921875,59.0625,77
1.200234375,205.3125,103
1.211171875,42.1875,89
1.221015625,219.375,125
1.23,21.09375,56
1.231640625,50.625,49
1.2434375,262.96875,208
1.2503125,26.71875,224
1.261875,234.84375,218
1.27,21.09375,222
1.281875,234.84375,232
1.28953125,12.65625,92
1.290390625,28.125,77
1.303671875,267.1875,112
1.309765625,16.875,110
1.31296875,74.53125,62
1.320859375,216.5625,86
1.33296875,75.9375,140
1.340859375,217.96875,202
1.350234375,25.3125,94
1.351796875,53.4375,68
1.361875,236.25,224
1.3703125,26.71875,220
1.382109375,239.0625,263
1.389453125,12.65625,88
1.39,22.5,83
1.39328125,80.15625,42
1.40125,225,62
1.410625,33.75,54
1.42203125,239.0625,59
1.43078125,36.5625,80
1.442265625,243.28125,131
1.451015625,40.78125,104
1.46125,225,119
1.47015625,25.3125,99
1.482109375,240.46875,99
1.489609375,16.875,78
1.53203125,59.0625,48
1.540390625,209.53125,57
1.552265625,64.6875,82
1.559921875,202.5,62
1.57296875,77.34375,75
1.579921875,202.5,96
1.59125,46.40625,78
1.6009375,220.78125,108
1.611328125,47.8125,133
1.620703125,216.5625,156
1.63078125,37.96875,150
1.641171875,225,162
1.64953125,16.875,62
1.6521875,64.6875,113
1.66046875,213.75,119
1.670390625,30.9375,71
1.681484375,232.03125,58
1.69109375,43.59375,98
1.701171875,225,182
1.7096875,19.6875,76
1.71203125,61.875,97
1.722265625,246.09375,239
1.729609375,18.28125,190
1.8025,251.71875,133
1.809375,14.0625,90
1.812890625,77.34375,76
1.822109375,243.28125,201
